Step Time Temp Pressure_Wall Energy Count
0 0.000000 0.666674 2.954703 200002.226135 100000.000000
20 0.200000 0.666705 67.012520 200011.503378 100000.000000
40 0.400000 0.666636 67.279479 199990.668525 100000.000000
60 0.600000 0.666597 43.152541 199979.165709 100000.000000
80 0.800000 0.666561 71.369204 199968.441346 100000.000000
100 1.000000 0.666620 76.850695 199986.132324 100000.000000
120 1.200000 0.666618 76.633874 199985.476629 100000.000000
140 1.400000 0.666607 71.370595 199982.079719 100000.000000
160 1.600000 0.666607 67.744334 199982.066092 100000.000000
180 1.800000 0.666603 61.352815 199980.924457 100000.000000
200 2.000000 0.666591 74.564640 199977.364852 100000.000000
220 2.200000 0.666570 83.800482 199970.957015 100000.000000
240 2.400000 0.666566 60.849889 199969.732791 100000.000000
260 2.600000 0.666560 64.227663 199967.991004 100000.000000
280 2.800000 0.666575 54.132212 199972.373792 100000.000000
300 3.000000 0.666575 58.951197 199972.373774 100000.000000
320 3.200000 0.666575 51.063583 199972.373791 100000.000000
340 3.400000 0.666575 66.722475 199972.373783 100000.000000
360 3.600000 0.666575 72.439437 199972.373784 100000.000000
380 3.800000 0.666575 63.812091 199972.373789 100000.000000
400 4.000000 0.666575 67.576299 199972.373811 100000.000000
420 4.200000 0.666575 74.325689 199972.373800 100000.000000
440 4.400000 0.666575 66.737854 199972.373829 100000.000000
460 4.600000 0.666575 59.038582 199972.373815 100000.000000
480 4.800000 0.666575 60.316877 199972.373801 100000.000000
500 5.000000 0.666575 69.257445 199972.373788 100000.000000
520 5.200000 0.666575 61.501339 199972.373787 100000.000000
540 5.400000 0.666575 56.829834 199972.373772 100000.000000
560 5.600000 0.666575 72.014538 199972.373751 100000.000000
580 5.800000 0.666575 59.274352 199972.373745 100000.000000
600 6.000000 0.666575 68.942158 199972.373761 100000.000000
620 6.200000 0.666575 65.401130 199972.373745 100000.000000
640 6.400000 0.666575 59.730401 199972.373742 100000.000000
660 6.600000 0.666575 61.024313 199972.373765 100000.000000
680 6.800000 0.666575 57.184152 199972.373755 100000.000000
700 7.000000 0.666575 70.483917 199972.373753 100000.000000
720 7.200000 0.666575 60.017649 199972.373759 100000.000000
740 7.400000 0.666575 63.026086 199972.373766 100000.000000
760 7.600000 0.666575 69.319645 199972.373787 100000.000000
780 7.800000 0.666575 69.336725 199972.373801 100000.000000
800 8.000000 0.666575 63.920355 199972.373801 100000.000000
820 8.200000 0.666575 72.201095 199972.373821 100000.000000
840 8.400000 0.666575 72.512841 199972.373810 100000.000000
